,number_of_blocks,layers_per_block,neurons_per_block_layer,neurons_per_block_layer_decay,valid_block,blocks
0,2,2,70,15,True,"[[2, 70, 15], [2, 70, 15]]"
1,2,2,70,16,True,"[[2, 70, 16], [2, 70, 16]]"
2,2,2,70,17,True,"[[2, 70, 17], [2, 70, 17]]"
3,2,2,70,18,True,"[[2, 70, 18], [2, 70, 18]]"
4,2,2,70,19,True,"[[2, 70, 19], [2, 70, 19]]"
5,2,2,70,20,True,"[[2, 70, 20], [2, 70, 20]]"
6,2,2,70,21,True,"[[2, 70, 21], [2, 70, 21]]"
7,2,2,70,22,True,"[[2, 70, 22], [2, 70, 22]]"
8,2,2,70,23,True,"[[2, 70, 23], [2, 70, 23]]"
9,2,2,70,24,True,"[[2, 70, 24], [2, 70, 24]]"
10,2,2,70,25,True,"[[2, 70, 25], [2, 70, 25]]"
11,2,2,70,26,True,"[[2, 70, 26], [2, 70, 26]]"
12,2,2,70,27,True,"[[2, 70, 27], [2, 70, 27]]"
13,2,2,70,28,True,"[[2, 70, 28], [2, 70, 28]]"
14,2,2,70,29,True,"[[2, 70, 29], [2, 70, 29]]"
15,2,2,70,30,True,"[[2, 70, 30], [2, 70, 30]]"
16,2,2,70,31,True,"[[2, 70, 31], [2, 70, 31]]"
17,2,2,70,32,True,"[[2, 70, 32], [2, 70, 32]]"
18,2,2,70,33,True,"[[2, 70, 33], [2, 70, 33]]"
19,2,2,70,34,True,"[[2, 70, 34], [2, 70, 34]]"
20,2,2,81,15,True,"[[2, 81, 15], [2, 81, 15]]"
21,2,2,81,16,True,"[[2, 81, 16], [2, 81, 16]]"
22,2,2,81,17,True,"[[2, 81, 17], [2, 81, 17]]"
23,2,2,81,18,True,"[[2, 81, 18], [2, 81, 18]]"
24,2,2,81,19,True,"[[2, 81, 19], [2, 81, 19]]"
25,2,2,81,20,True,"[[2, 81, 20], [2, 81, 20]]"
26,2,2,81,21,True,"[[2, 81, 21], [2, 81, 21]]"
27,2,2,81,22,True,"[[2, 81, 22], [2, 81, 22]]"
28,2,2,81,23,True,"[[2, 81, 23], [2, 81, 23]]"
29,2,2,81,24,True,"[[2, 81, 24], [2, 81, 24]]"
30,2,2,81,25,True,"[[2, 81, 25], [2, 81, 25]]"
31,2,2,81,26,True,"[[2, 81, 26], [2, 81, 26]]"
32,2,2,81,27,True,"[[2, 81, 27], [2, 81, 27]]"
33,2,2,81,28,True,"[[2, 81, 28], [2, 81, 28]]"
34,2,2,81,29,True,"[[2, 81, 29], [2, 81, 29]]"
35,2,2,81,30,True,"[[2, 81, 30], [2, 81, 30]]"
36,2,2,81,31,True,"[[2, 81, 31], [2, 81, 31]]"
37,2,2,81,32,True,"[[2, 81, 32], [2, 81, 32]]"
38,2,2,81,33,True,"[[2, 81, 33], [2, 81, 33]]"
39,2,2,81,34,True,"[[2, 81, 34], [2, 81, 34]]"
40,2,2,81,35,True,"[[2, 81, 35], [2, 81, 35]]"
41,2,2,93,15,True,"[[2, 93, 15], [2, 93, 15]]"
42,2,2,93,16,True,"[[2, 93, 16], [2, 93, 16]]"
43,2,2,93,17,True,"[[2, 93, 17], [2, 93, 17]]"
44,2,2,93,18,True,"[[2, 93, 18], [2, 93, 18]]"
45,2,2,93,19,True,"[[2, 93, 19], [2, 93, 19]]"
46,2,2,93,20,True,"[[2, 93, 20], [2, 93, 20]]"
47,2,2,93,21,True,"[[2, 93, 21], [2, 93, 21]]"
48,2,2,93,22,True,"[[2, 93, 22], [2, 93, 22]]"
49,2,2,93,23,True,"[[2, 93, 23], [2, 93, 23]]"
50,2,2,93,24,True,"[[2, 93, 24], [2, 93, 24]]"
51,2,2,93,25,True,"[[2, 93, 25], [2, 93, 25]]"
52,2,2,93,26,True,"[[2, 93, 26], [2, 93, 26]]"
53,2,2,93,27,True,"[[2, 93, 27], [2, 93, 27]]"
54,2,2,93,28,True,"[[2, 93, 28], [2, 93, 28]]"
55,2,2,93,29,True,"[[2, 93, 29], [2, 93, 29]]"
56,2,2,93,30,True,"[[2, 93, 30], [2, 93, 30]]"
57,2,2,93,31,True,"[[2, 93, 31], [2, 93, 31]]"
58,2,2,93,32,True,"[[2, 93, 32], [2, 93, 32]]"
59,2,2,93,33,True,"[[2, 93, 33], [2, 93, 33]]"
60,2,2,93,34,True,"[[2, 93, 34], [2, 93, 34]]"
61,2,2,93,35,True,"[[2, 93, 35], [2, 93, 35]]"
62,2,2,105,15,True,"[[2, 105, 15], [2, 105, 15]]"
63,2,2,105,16,True,"[[2, 105, 16], [2, 105, 16]]"
64,2,2,105,17,True,"[[2, 105, 17], [2, 105, 17]]"
65,2,2,105,18,True,"[[2, 105, 18], [2, 105, 18]]"
66,2,2,105,19,True,"[[2, 105, 19], [2, 105, 19]]"
67,2,2,105,20,True,"[[2, 105, 20], [2, 105, 20]]"
68,2,2,105,21,True,"[[2, 105, 21], [2, 105, 21]]"
69,2,2,105,22,True,"[[2, 105, 22], [2, 105, 22]]"
70,2,2,105,23,True,"[[2, 105, 23], [2, 105, 23]]"
71,2,2,105,24,True,"[[2, 105, 24], [2, 105, 24]]"
72,2,2,105,25,True,"[[2, 105, 25], [2, 105, 25]]"
73,2,2,105,26,True,"[[2, 105, 26], [2, 105, 26]]"
74,2,2,105,27,True,"[[2, 105, 27], [2, 105, 27]]"
75,2,2,105,28,True,"[[2, 105, 28], [2, 105, 28]]"
76,2,2,105,29,True,"[[2, 105, 29], [2, 105, 29]]"
77,2,2,105,30,True,"[[2, 105, 30], [2, 105, 30]]"
78,2,2,105,31,True,"[[2, 105, 31], [2, 105, 31]]"
79,2,2,105,32,True,"[[2, 105, 32], [2, 105, 32]]"
80,2,2,105,33,True,"[[2, 105, 33], [2, 105, 33]]"
81,2,2,105,34,True,"[[2, 105, 34], [2, 105, 34]]"
82,2,2,105,35,True,"[[2, 105, 35], [2, 105, 35]]"
83,2,2,116,15,True,"[[2, 116, 15], [2, 116, 15]]"
84,2,2,116,16,True,"[[2, 116, 16], [2, 116, 16]]"
85,2,2,116,17,True,"[[2, 116, 17], [2, 116, 17]]"
86,2,2,116,18,True,"[[2, 116, 18], [2, 116, 18]]"
87,2,2,116,19,True,"[[2, 116, 19], [2, 116, 19]]"
88,2,2,116,20,True,"[[2, 116, 20], [2, 116, 20]]"
89,2,2,116,21,True,"[[2, 116, 21], [2, 116, 21]]"
90,2,2,116,22,True,"[[2, 116, 22], [2, 116, 22]]"
91,2,2,116,23,True,"[[2, 116, 23], [2, 116, 23]]"
92,2,2,116,24,True,"[[2, 116, 24], [2, 116, 24]]"
93,2,2,116,25,True,"[[2, 116, 25], [2, 116, 25]]"
94,2,2,116,26,True,"[[2, 116, 26], [2, 116, 26]]"
95,2,2,116,27,True,"[[2, 116, 27], [2, 116, 27]]"
96,2,2,116,28,True,"[[2, 116, 28], [2, 116, 28]]"
97,2,2,116,29,True,"[[2, 116, 29], [2, 116, 29]]"
98,2,2,116,30,True,"[[2, 116, 30], [2, 116, 30]]"
99,2,2,116,31,True,"[[2, 116, 31], [2, 116, 31]]"
100,2,2,116,32,True,"[[2, 116, 32], [2, 116, 32]]"
101,2,2,116,33,True,"[[2, 116, 33], [2, 116, 33]]"
102,2,2,116,34,True,"[[2, 116, 34], [2, 116, 34]]"
103,2,2,116,35,True,"[[2, 116, 35], [2, 116, 35]]"
104,2,2,128,15,True,"[[2, 128, 15], [2, 128, 15]]"
105,2,2,128,16,True,"[[2, 128, 16], [2, 128, 16]]"
106,2,2,128,17,True,"[[2, 128, 17], [2, 128, 17]]"
107,2,2,128,18,True,"[[2, 128, 18], [2, 128, 18]]"
