,number_of_blocks,layers_per_block,neurons_per_block_layer,neurons_per_block_layer_decay,valid_block,blocks
0,1,2,60,10,True,"[[2, 60, 10]]"
1,1,2,60,11,True,"[[2, 60, 11]]"
2,1,2,60,12,True,"[[2, 60, 12]]"
3,1,2,60,13,True,"[[2, 60, 13]]"
4,1,2,60,14,True,"[[2, 60, 14]]"
5,1,2,60,15,True,"[[2, 60, 15]]"
6,1,2,60,16,True,"[[2, 60, 16]]"
7,1,2,60,17,True,"[[2, 60, 17]]"
8,1,2,60,18,True,"[[2, 60, 18]]"
9,1,2,60,19,True,"[[2, 60, 19]]"
10,1,2,60,20,True,"[[2, 60, 20]]"
11,1,2,60,21,True,"[[2, 60, 21]]"
12,1,2,60,22,True,"[[2, 60, 22]]"
13,1,2,60,23,True,"[[2, 60, 23]]"
14,1,2,60,24,True,"[[2, 60, 24]]"
15,1,2,60,25,True,"[[2, 60, 25]]"
16,1,2,60,26,True,"[[2, 60, 26]]"
17,1,2,60,27,True,"[[2, 60, 27]]"
18,1,2,60,28,True,"[[2, 60, 28]]"
19,1,2,60,29,True,"[[2, 60, 29]]"
20,1,2,68,10,True,"[[2, 68, 10]]"
21,1,2,68,11,True,"[[2, 68, 11]]"
22,1,2,68,12,True,"[[2, 68, 12]]"
23,1,2,68,13,True,"[[2, 68, 13]]"
24,1,2,68,14,True,"[[2, 68, 14]]"
25,1,2,68,15,True,"[[2, 68, 15]]"
26,1,2,68,16,True,"[[2, 68, 16]]"
27,1,2,68,17,True,"[[2, 68, 17]]"
28,1,2,68,18,True,"[[2, 68, 18]]"
29,1,2,68,19,True,"[[2, 68, 19]]"
30,1,2,68,20,True,"[[2, 68, 20]]"
31,1,2,68,21,True,"[[2, 68, 21]]"
32,1,2,68,22,True,"[[2, 68, 22]]"
33,1,2,68,23,True,"[[2, 68, 23]]"
34,1,2,68,24,True,"[[2, 68, 24]]"
35,1,2,68,25,True,"[[2, 68, 25]]"
36,1,2,68,26,True,"[[2, 68, 26]]"
37,1,2,68,27,True,"[[2, 68, 27]]"
38,1,2,68,28,True,"[[2, 68, 28]]"
39,1,2,68,29,True,"[[2, 68, 29]]"
40,1,2,68,30,True,"[[2, 68, 30]]"
41,1,2,68,31,True,"[[2, 68, 31]]"
42,1,2,68,32,True,"[[2, 68, 32]]"
43,1,2,68,33,True,"[[2, 68, 33]]"
44,1,2,76,10,True,"[[2, 76, 10]]"
45,1,2,76,11,True,"[[2, 76, 11]]"
46,1,2,76,12,True,"[[2, 76, 12]]"
47,1,2,76,13,True,"[[2, 76, 13]]"
