,number_of_blocks,layers_per_block,neurons_per_block_layer,neurons_per_block_layer_decay,valid_block,blocks
0,2,1,4,0,True,"[[1, 4, 0], [1, 4, 0]]"
1,2,1,4,1,True,"[[1, 4, 1], [1, 4, 1]]"
2,2,1,4,2,True,"[[1, 4, 2], [1, 4, 2]]"
3,2,1,4,3,True,"[[1, 4, 3], [1, 4, 3]]"
4,2,1,7,0,True,"[[1, 7, 0], [1, 7, 0]]"
5,2,1,7,1,True,"[[1, 7, 1], [1, 7, 1]]"
6,2,1,7,2,True,"[[1, 7, 2], [1, 7, 2]]"
7,2,1,7,3,True,"[[1, 7, 3], [1, 7, 3]]"
8,2,1,7,4,True,"[[1, 7, 4], [1, 7, 4]]"
9,2,1,7,5,True,"[[1, 7, 5], [1, 7, 5]]"
10,2,1,11,0,True,"[[1, 11, 0], [1, 11, 0]]"
11,2,1,11,1,True,"[[1, 11, 1], [1, 11, 1]]"
12,2,1,11,2,True,"[[1, 11, 2], [1, 11, 2]]"
13,2,1,11,3,True,"[[1, 11, 3], [1, 11, 3]]"
14,2,1,11,4,True,"[[1, 11, 4], [1, 11, 4]]"
15,2,1,11,5,True,"[[1, 11, 5], [1, 11, 5]]"
16,2,1,14,0,True,"[[1, 14, 0], [1, 14, 0]]"
17,2,1,14,1,True,"[[1, 14, 1], [1, 14, 1]]"
18,2,1,14,2,True,"[[1, 14, 2], [1, 14, 2]]"
19,2,1,14,3,True,"[[1, 14, 3], [1, 14, 3]]"
20,2,1,14,4,True,"[[1, 14, 4], [1, 14, 4]]"
21,2,1,14,5,True,"[[1, 14, 5], [1, 14, 5]]"
22,2,1,18,0,True,"[[1, 18, 0], [1, 18, 0]]"
23,2,1,18,1,True,"[[1, 18, 1], [1, 18, 1]]"
24,2,1,18,2,True,"[[1, 18, 2], [1, 18, 2]]"
25,2,1,18,3,True,"[[1, 18, 3], [1, 18, 3]]"
26,2,1,18,4,True,"[[1, 18, 4], [1, 18, 4]]"
27,2,1,18,5,True,"[[1, 18, 5], [1, 18, 5]]"
28,2,1,21,0,True,"[[1, 21, 0], [1, 21, 0]]"
29,2,1,21,1,True,"[[1, 21, 1], [1, 21, 1]]"
30,2,1,21,2,True,"[[1, 21, 2], [1, 21, 2]]"
31,2,1,21,3,True,"[[1, 21, 3], [1, 21, 3]]"
32,2,1,21,4,True,"[[1, 21, 4], [1, 21, 4]]"
33,2,1,21,5,True,"[[1, 21, 5], [1, 21, 5]]"
34,2,1,25,0,True,"[[1, 25, 0], [1, 25, 0]]"
35,2,1,25,1,True,"[[1, 25, 1], [1, 25, 1]]"
36,2,1,25,2,True,"[[1, 25, 2], [1, 25, 2]]"
37,2,1,25,3,True,"[[1, 25, 3], [1, 25, 3]]"
38,2,1,25,4,True,"[[1, 25, 4], [1, 25, 4]]"
39,2,1,25,5,True,"[[1, 25, 5], [1, 25, 5]]"
40,2,2,4,0,True,"[[2, 4, 0], [2, 4, 0]]"
41,2,2,4,1,True,"[[2, 4, 1], [2, 4, 1]]"
42,2,2,7,0,True,"[[2, 7, 0], [2, 7, 0]]"
43,2,2,7,1,True,"[[2, 7, 1], [2, 7, 1]]"
44,2,2,7,2,True,"[[2, 7, 2], [2, 7, 2]]"
45,2,2,7,3,True,"[[2, 7, 3], [2, 7, 3]]"
46,2,2,11,0,True,"[[2, 11, 0], [2, 11, 0]]"
47,2,2,11,1,True,"[[2, 11, 1], [2, 11, 1]]"
48,2,2,11,2,True,"[[2, 11, 2], [2, 11, 2]]"
49,2,2,11,3,True,"[[2, 11, 3], [2, 11, 3]]"
50,2,2,11,4,True,"[[2, 11, 4], [2, 11, 4]]"
51,2,2,11,5,True,"[[2, 11, 5], [2, 11, 5]]"
52,2,2,14,0,True,"[[2, 14, 0], [2, 14, 0]]"
53,2,2,14,1,True,"[[2, 14, 1], [2, 14, 1]]"
54,2,2,14,2,True,"[[2, 14, 2], [2, 14, 2]]"
55,2,2,14,3,True,"[[2, 14, 3], [2, 14, 3]]"
